"year","시도","시군구","발전소명","연료","발전방식","용량_kW","발전량_MWh"
2020,"경기","부천시","ocean","해양","ocean",0,0
2020,"경기","부천시","waste","폐기물","waste",0,24.8666216104525
2020,"경기","부천시","wind","풍력","wind",0,0
2020,"경기","성남시","IGCC","IGCC","IGCC",0,0
2020,"경기","성남시","PV","태양광","PV",0,20307.7488499096
2020,"경기","성남시","bio","바이오","bio",0,0
2020,"경기","성남시","fuelcell","연료전지","fuelcell",0,283266.426076129
2020,"경기","성남시","hydro","수력","hydro",0,3437.78226
2020,"경기","성남시","ocean","해양","ocean",0,0
2020,"경기","성남시","waste","폐기물","waste",0,0
2020,"경기","성남시","wind","풍력","wind",0,0
2020,"경기","수원시","IGCC","IGCC","IGCC",0,0
2020,"경기","수원시","PV","태양광","PV",0,23799.1949775635
2020,"경기","수원시","bio","바이오","bio",0,0
2020,"경기","수원시","fuelcell","연료전지","fuelcell",0,798.77007612897
2020,"경기","수원시","hydro","수력","hydro",0,0
2020,"경기","수원시","ocean","해양","ocean",0,0
2020,"경기","수원시","waste","폐기물","waste",0,12.1961258985977
2020,"경기","수원시","wind","풍력","wind",0,0
2020,"경기","시흥시","IGCC","IGCC","IGCC",0,0
2020,"경기","시흥시","PV","태양광","PV",0,35313.1879819667
2020,"경기","시흥시","bio","바이오","bio",0,0
2020,"경기","시흥시","fuelcell","연료전지","fuelcell",0,40027.8378172281
2020,"경기","시흥시","hydro","수력","hydro",0,0
2020,"경기","시흥시","ocean","해양","ocean",0,0
2020,"경기","시흥시","waste","폐기물","waste",0,3.96346072709927
2020,"경기","시흥시","wind","풍력","wind",0,0
2020,"경기","안산시","IGCC","IGCC","IGCC",0,0
2020,"경기","안산시","PV","태양광","PV",0,38603.3564280111
2020,"경기","안산시","bio","바이오","bio",0,11332.6872
2020,"경기","안산시","fuelcell","연료전지","fuelcell",0,20910.0785130651
2020,"경기","안산시","hydro","수력","hydro",0,0
2020,"경기","안산시","ocean","해양","ocean",0,457257.07726
2020,"경기","안산시","waste","폐기물","waste",0,7352.95797539274
2020,"경기","안산시","wind","풍력","wind",0,5570.86907378914
2020,"경기","안성시","IGCC","IGCC","IGCC",0,0
2020,"경기","안성시","PV","태양광","PV",0,104012.429834512
2020,"경기","안성시","bio","바이오","bio",0,0
2020,"경기","안성시","fuelcell","연료전지","fuelcell",0,82.741123423718
