"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"84","41171-28365","경기도 안양시 만안구 안양동 371번지",7,202001,3349.366,3538.716,8,1201000000,6100315145
"85","41171-28366","경기도 안양시 만안구 안양동 371번지",7,202001,530.517,546,1,1100100000,245026010
"86","41171-28366","경기도 안양시 만안구 안양동 371번지",7,202001,1432.971,639.527,8,1201000000,6100315603
"87","41171-28367","경기도 안양시 만안구 안양동 371번지",7,202001,259.713,251,1,1100100000,214657806
"88","41171-28367","경기도 안양시 만안구 안양동 371번지",7,202001,9833.426,9933.986,8,1201000000,6100315348
"89","41171-28368","경기도 안양시 만안구 안양동 371번지",7,202001,337.827,339,1,1100100000,214657851
"90","41171-28368","경기도 안양시 만안구 안양동 371번지",7,202001,809.483,810.0676,8,1201000000,6100315491
"91","41171-28369","경기도 안양시 만안구 안양동 371번지",7,202001,219.981,219,1,1100100000,214657897
"92","41171-28369","경기도 안양시 만안구 안양동 371번지",7,202001,5112.537,5116.216,8,1201000000,6100315633
"93","41171-28370","경기도 안양시 만안구 안양동 371번지",7,202001,123.923,122,1,1100100000,214657673
"94","41171-28370","경기도 안양시 만안구 안양동 371번지",7,202001,1201.538,1833.311,8,1201000000,6100315057
"95","41171-28371","경기도 안양시 만안구 안양동 371번지",7,202001,269.377,269,1,1100100000,214657815
"96","41171-28371","경기도 안양시 만안구 안양동 371번지",7,202001,6023.617,5841.013,8,1201000000,6100315380
"97","41171-607","경기도 안양시 만안구 안양동 371번지",1,202001,18.011,18,1,1100100000,200723789
"98","41171-607","경기도 안양시 만안구 안양동 371번지",8,202001,42.997,43,1,1100100000,214657708
"99","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202001,22.202,22,1,1100100000,214657414
"100","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202001,64.399,64,1,1100100000,214657423
"101","41171-9997","경기도 안양시 만안구 안양동 371번지",2,202001,46.004,46,1,1100100000,214657478
"102","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202001,168.674,171,1,1100100000,214657646
"103","41171-9997","경기도 안양시 만안구 안양동 371번지",8,202001,61.418,62,1,1100100000,214657691
"104","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202002,268.69,287,1,1100100000,214657370
"105","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202002,5738.922,6386.876,8,1201000000,6100314364
"106","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202002,187.064,201,1,1100100000,214657487
"107","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202002,807.378,1107.058,8,1201000000,6100314612
"108","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202002,263.614,286,1,1100100000,214657566
"109","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202002,8652.034,8899.047,8,1201000000,6100314830
"110","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202002,162.753,176,1,1100100000,214657389
"111","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202002,4859.948,4683.709,8,1201000000,6100314404
"112","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202002,139.626,148,1,1100100000,214657539
"113","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202002,1221.85,1149.638,8,1201000000,6100314747
"114","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202002,197.186,211,1,1100100000,214657548
"115","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202002,3421.393,3832.125,8,1201000000,6100314764
"116","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202002,95.822,100,1,1100100000,214657469
"117","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202002,920.014,1405.113,8,1201000000,6100314576
